Name,Family,Genus,Common_Name
Malus domestica,Rosaceae,Malus,Apple
Pyrus communis,Rosaceae,Pyrus,"Pear,Common Pear"
Prunus persica,Rosaceae,Prunus,"Peach,Nectarine"
Prunus armeniaca,Rosaceae,Prunus,Apricot
Prunus avium,Rosaceae,Prunus,"Sweet Cherry,Wild Cherry"
Prunus cerasus,Rosaceae,Prunus,"Sour Cherry,Morello Cherry"
Prunus domestica,Rosaceae,Prunus,"Plum,European Plum"
Prunus salicina,Rosaceae,Prunus,Japanese Plum
Prunus dulcis,Rosaceae,Prunus,Almond
Fragaria × ananassa,Rosaceae,Fragaria,"Strawberry,Garden Strawberry"
Rubus idaeus,Rosaceae,Rubus,"Raspberry,Red Raspberry"
Rubus fruticosus,Rosaceae,Rubus,"Blackberry,Bramble"
Rubus occidentalis,Rosaceae,Rubus,Black Raspberry
Rubus loganobaccus,Rosaceae,Rubus,Loganberry
Cydonia oblonga,Rosaceae,Cydonia,Quince
Eriobotrya japonica,Rosaceae,Eriobotrya,"Loquat,Japanese Plum"
Mespilus germanica,Rosaceae,Mespilus,Medlar
Crataegus monogyna,Rosaceae,Crataegus,"Common Hawthorn,Maythorn"
Rosa damascena,Rosaceae,Rosa,"Damask Rose,Rose of Castile"
Rosa canina,Rosaceae,Rosa,"Dog Rose,Brier Hip"
Rosa gallica,Rosaceae,Rosa,"Gallic Rose,Apothecary's Rose"
Rosa rugosa,Rosaceae,Rosa,"Rugosa Rose,Japanese Rose"
Alchemilla mollis,Rosaceae,Alchemilla,Lady's Mantle
Filipendula ulmaria,Rosaceae,Filipendula,Meadowsweet
Sanguisorba minor,Rosaceae,Sanguisorba,Salad Burnet
Geum urbanum,Rosaceae,Geum,"Wood Avens,Herb Bennet"
Potentilla reptans,Rosaceae,Potentilla,Creeping Cinquefoil
Spiraea japonica,Rosaceae,Spiraea,"Japanese Spirea,Japanese Meadowsweet"
Sorbus aucuparia,Rosaceae,Sorbus,"Rowan,Mountain-ash"
